Station_ID,lat,lon
Antwerp,51.2194475,4.4024643
Brussels,50.85034,4.35171
East-Flanders,51.048611,3.719444
Flemish-Brabant,50.875,4.666667
Hainaut,50.45,3.666667
Limburg,51,5.5
Liège,50.65,5.566667
Luxembourg,50.366667,6.133333
Namur,50.475,4.866667
Walloon-Brabant,50.716667,4.683333
West-Flanders,51.166667,3.266667
